seed_a,seed_b,edges_a,edges_b,overlap_edges,jaccard_similarity
42,123,188,181,28,0.08211143695014662
42,456,188,196,31,0.08781869688385269
42,789,188,191,24,0.0676056338028169
42,2026,188,192,45,0.13432835820895522
123,456,181,196,41,0.12202380952380952
123,789,181,191,39,0.11711711711711711
123,2026,181,192,40,0.12012012012012012
456,789,196,191,39,0.11206896551724138
456,2026,196,192,29,0.0807799442896936
789,2026,191,192,41,0.11988304093567251
