,tt_cawang.csv,tt_gatsu.csv,tt_grogol.csv,tt_kelapagading.csv,tt_kuningan.csv,tt_sudirman.csv,tt_thamrin.csv,tt_bekasi.csv,tt_bogor.csv,tt_bsd.csv,tt_depok.csv,tt_kebonjeruk.csv,tt_tangerang.csv,tt_tbsimatupang.csv,tt_daanmogot.csv,tt_kalimalang.csv,tt_lingkardalam.csv,tt_majapahit.csv,tt_merdekabar.csv,tt_mtharyono.csv,tt_rayabogor.csv,tt_sparman.csv,tt_sudirman_s.csv,tt_sultanagung.csv,tt_cakungcilincing.csv,tt_cibinong.csv,tt_cibitung.csv,tt_cijantung.csv,tt_cilodong.csv,tt_cimanggis.csv,tt_cipondoh.csv,tt_fatmawati.csv,tt_gadingserpong.csv,tt_gajahmada.csv,tt_gunungsahari.csv,tt_hayamwuruk.csv,tt_jatinegara.csv,tt_jorr_west.csv,tt_kapukmuara.csv,tt_karawaci.csv,tt_kedoya.csv,tt_kemang.csv,tt_kramatraya.csv,tt_lebakbulus.csv,tt_lentengagung.csv,tt_mampang.csv,tt_manggadua.csv,tt_martadinata.csv,tt_matraman.csv,tt_merak_toll_e.csv,tt_otista.csv,tt_pemuda.csv,tt_perintis.csv,tt_pluit.csv,tt_pondokindah.csv,tt_pospengumben.csv,tt_pramuka.csv,tt_purikembangan.csv,tt_ragunan.csv,tt_rayabekasi_cakung.csv,tt_salemba.csv,tt_supomo.csv,tt_tambun.csv,tt_tendean.csv
tt_cawang.csv,0.108006574,0.0,0.0075731934,0.0143382605,0.0,0.009833882,0.0014962939,0.0,0.0066801184,9.295308e-06,0.011819441,0.022954356,0.00073271745,0.036324795,0.0,0.0,0.018724818,0.011746279,0.0018251843,0.0,0.00468387,0.0,0.010776464,5.143131e-05,0.020660056,0.0,0.0,0.009961704,0.013377579,0.0008192981,0.020500015,0.0,0.012462413,0.01615142,0.0103547815,0.035549227,0.0003354817,0.0361465,0.009838541,0.0,0.026494714,0.028038032,0.0135898655,0.03099179,7.822951e-06,1.3122351e-05,0.0005325645,0.0,0.017852452,0.0,0.011960531,0.0,0.007254267,0.0,0.026645955,0.0024916031,0.0214237,0.008451376,0.033111524,0.008675679,0.002565103,0.0045786262,0.008982034,0.017420504
tt_gatsu.csv,0.0,0.0712051,0.008141517,0.009183922,0.00010732016,0.014161914,0.018061837,0.025393324,7.955067e-05,0.00344414,0.018329462,0.010544879,0.0058988053,0.005236098,0.02053692,0.002565033,0.023690488,0.002452482,0.00509363,0.0011885149,0.003972226,0.011451504,0.0016263919,0.0054548844,0.0077078394,0.012991043,0.013780153,0.024499362,0.007981038,0.0029313383,0.0,0.010900632,0.0019531116,0.021199962,0.013153339,0.00051256607,0.012771351,0.0031448118,0.0,0.005713302,0.0063351016,0.0016370084,0.0049500656,5.6371275e-05,0.0,0.007858751,0.016550392,0.009824174,0.0,0.0071536014,0.0,0.0013935314,0.0069848658,8.3691535e-05,0.0,0.01170563,0.00018030865,0.0070866947,0.0012085492,0.0,0.010305051,0.000502572,0.0,0.00058878935
tt_grogol.csv,0.0075731934,0.008141517,0.068068326,0.0121598,0.005958111,0.02365283,0.014595749,0.0031004148,0.012943218,0.00013609715,0.005211949,0.01142022,0.0072746663,0.024566649,0.002035923,0.0,0.020841563,0.012040763,0.0017913174,0.0,0.01045219,0.0,0.014416373,0.0,0.006730637,0.010951154,0.0063183163,0.017584538,0.0048742434,0.008902148,0.008447055,0.0060003083,0.002502823,0.013136127,0.018072642,0.012875639,0.0020909235,0.013580071,0.005746952,0.0,0.015180537,0.016198523,0.0,0.011311101,1.5421361e-05,0.019830745,0.0055406564,0.0002516314,0.024492154,0.0071625537,0.0038635302,0.0,0.013481601,1.3991102e-05,0.014088066,0.01690508,0.003514218,0.0,0.013619517,0.0011162654,0.010034608,0.0012614792,0.0011116522,0.032637652
tt_kelapagading.csv,0.014338262,0.009183921,0.012159801,0.10017609,0.017658172,0.016065123,0.036718667,0.031417087,0.018919433,0.0,0.014258448,0.02205277,0.02080286,0.025220644,0.022490762,8.2152765e-05,0.023194257,0.013192325,0.011199227,0.0,0.02452376,0.0,0.00483985,0.005874291,0.0039384565,0.014560227,0.008918283,1.1841755e-06,0.007396627,0.002783688,0.009341571,0.011824974,0.00043139933,0.0,0.006909593,0.031734902,0.008466999,0.018370448,0.007959945,0.0,0.011867191,0.0,0.009847706,0.011362009,0.0,0.010197411,0.011977081,0.0083737485,0.006436133,0.006900735,0.012598915,0.0,0.011542353,0.0,0.015080745,0.008010952,0.00990292,0.01203311,0.0,0.011871916,0.013682078,0.019806124,0.0025129602,0.012161584
tt_kuningan.csv,0.0,0.00010732016,0.005958111,0.017658172,0.041348614,0.014683304,0.015039912,0.03281578,0.0117527535,0.013006295,0.007996431,0.0051204707,0.0172741,0.00073017686,0.012807321,0.005792409,0.008584512,0.0071241986,0.011613532,0.013006465,0.0058761784,0.009620666,0.019206204,0.012675184,0.0067904447,0.0017352705,0.019157851,0.01073445,0.0076472578,0.011075194,0.0014265327,0.010900825,0.0030334326,0.01880387,0.0,0.026476081,0.016473563,0.0,0.0055032554,0.00981941,0.013888066,0.00010004326,0.016736135,0.0,0.011843387,0.013667888,0.017934596,0.005255489,0.012230437,0.016785897,0.01694276,0.0028881507,0.005013745,0.014775618,0.024940498,0.008609814,0.0012814014,0.020781644,0.0,0.00617843,0.015347091,0.021070734,0.013541804,0.0
tt_sudirman.csv,0.009833882,0.014161914,0.02365283,0.016065123,0.014683304,0.12505867,0.020631323,0.0,0.0068514,0.0,0.009550558,0.01867233,0.009425232,0.031538345,0.01997259,0.0,0.022354456,0.03121003,0.0,0.0,0.001693869,0.0,0.0014889973,0.0,0.0094056,0.010292707,2.4873876e-05,0.0,0.0041653095,4.3994245e-05,0.028730208,0.012653613,0.0046709916,0.026058288,0.008342395,0.015361401,0.012586489,0.009674038,0.0064890753,0.0,0.027357677,0.021784067,0.0020148424,0.009644474,0.0,0.029878408,0.011340534,0.0,0.01681071,0.0077584856,0.014754013,0.0,0.009062713,0.0,0.0025416354,0.02788326,0.009716278,0.0026769096,0.0090656,0.0065111844,0.029392643,0.0006284422,0.009908028,0.04971975
tt_thamrin.csv,0.0014962939,0.018061837,0.014595749,0.036718667,0.015039912,0.020631323,0.114902824,0.04279861,0.017937424,0.0019213771,0.0073858183,0.031974375,0.02903258,0.03881016,0.024171257,0.001422447,0.021461923,0.022595981,0.016049,0.002911069,0.02011635,0.00076109444,0.007250336,0.009998354,0.019428035,0.023960792,0.0052665817,0.011728798,0.0066357767,0.012579709,0.010779867,0.01538266,0.007332891,0.020543514,0.016630167,0.018555349,0.014159525,0.010364264,0.0026030273,0.0024476356,0.0148985,0.02551855,0.015763873,0.035891104,0.0048401444,0.010900502,0.0061510224,0.008266732,0.015991371,0.00054119376,0.0118010435,0.0018691168,0.017544195,0.010549692,0.011977837,0.008136355,0.0071394257,0.021300966,0.006054,0.008278239,0.014015219,0.0155995535,0.0002651414,0.01457298
tt_bekasi.csv,0.0,0.025393324,0.0031004148,0.031417087,0.03281578,0.0,0.0427986,0.07547614,0.021730177,0.018490965,0.0038574245,0.0,0.024885181,0.01714882,0.02072163,0.022238532,0.02380357,0.018633984,0.017448792,0.020581037,0.012155122,0.021131413,0.025920196,0.013278932,0.012751134,0.024479143,0.02795306,0.020348936,0.008588621,0.02257613,0.0070370235,0.011476155,0.010704035,0.026024787,0.0065254304,0.013098552,0.016673626,0.0,0.008924846,0.008526889,0.007337737,0.010258507,0.013751885,0.010055043,0.020962408,0.004721169,0.0,0.008821529,0.017704537,0.016500227,0.016434684,0.01813329,0.016179755,0.027531052,0.00086519244,0.009837393,0.0071164835,0.030125042,0.0019156869,0.011198944,0.00919134,0.017774496,0.0,0.0
tt_bogor.csv,0.0066801184,7.955068e-05,0.012943218,0.018919434,0.0117527535,0.0068514,0.017937424,0.021730177,0.0893111,0.009871737,0.00754089,0.008188825,0.011775091,0.01193723,0.022007685,0.00612265,0.027180044,0.01317217,0.0046744845,0.002113964,0.015565673,0.0063820668,0.01586671,0.0077427994,0.0032515274,0.014924307,0.005240521,0.01357725,0.011332454,0.009343362,0.009019567,0.016331587,0.012962829,0.028598236,0.014140414,0.02060429,0.004840303,0.012313026,0.0070858155,0.00929495,0.00597842,0.0066466364,0.011678113,0.013550274,0.0022497773,0.00749695,0.007485354,0.00900717,0.02065561,0.01335643,0.011303914,0.002295617,0.00801347,0.00018527266,0.011106605,0.0132248895,0.008719339,0.0,0.01552319,0.0054921103,0.006989052,0.015681677,0.011026186,0.003148594
tt_bsd.csv,9.295307e-06,0.00344414,0.00013609715,0.0,0.013006295,0.0,0.0019213769,0.018490963,0.009871737,0.17561957,0.038085658,0.0,0.0076471153,8.395754e-05,0.0,0.010587474,0.00194071,0.0021248707,0.011949979,0.009206265,0.01146378,0.019108688,0.01464146,0.014876852,0.0,0.008287267,0.015818838,0.017039057,0.0,0.019026723,0.0,0.03408098,0.012911064,0.004575541,0.0009806686,0.0,0.0029462148,0.00083447975,0.00016073538,0.030588046,0.0,0.0008818334,0.0081607895,0.0019079185,0.016953751,3.780335e-05,0.0025374512,0.008633026,0.002550202,0.021431051,0.005737474,0.00512377,0.0050511295,0.01560944,0.024625108,0.007053959,0.0043334346,0.03266358,0.0,0.016567748,0.025970567,0.019800883,0.027540384,0.002990665
