horizon,node_index,corridor,fixed_mae,fixed_mae_std,fixed_rmse,fixed_rmse_std,fixed_points,adaptive_mae,adaptive_mae_std,adaptive_rmse,adaptive_rmse_std,adaptive_points,mae_improvement,mae_improvement_pct,rmse_improvement,rmse_improvement_pct,winner_mae,winner_rmse,category
1,57,tt_purikembangan.csv,8.1081937789917,0.6215077611865919,9.8443091559046,0.4336648791660506,230,6.6918035507202145,0.29885390409729,8.601972310761187,0.34074779028799995,230,1.416390228271485,17.468628240500948,1.242336845143413,12.619847929077496,Adaptive,Adaptive,Adaptive strongest
1,5,tt_sudirman.csv,4.990421390533447,0.10254415810230583,6.2535503399190855,0.0866322087480729,230,4.245450973510742,0.17231789576405335,4.950372863348787,0.1402419752319588,230,0.7449704170227047,14.92800624884849,1.3031774765702986,20.839001938651705,Adaptive,Adaptive,Adaptive strongest
1,24,tt_cakungcilincing.csv,3.293184423446655,0.14684334541001817,4.329017249698033,0.15634781737178902,230,2.590940570831299,0.12397469349282696,3.1861452627339837,0.13512450183467817,230,0.7022438526153563,21.32415808891705,1.1428719869640496,26.400264102522797,Adaptive,Adaptive,Adaptive strongest
1,0,tt_cawang.csv,6.814060211181641,0.1090122671104308,9.502635844315531,0.11001257295416345,230,6.199857711791992,0.11835972144384502,8.550909268076158,0.23322554898574377,230,0.6142024993896484,9.013752158834215,0.9517265762393734,10.015395642133287,Adaptive,Adaptive,Adaptive strongest
1,63,tt_tendean.csv,7.648552989959716,0.07413523642132804,10.13431992829656,0.0980065349879134,230,7.07707462310791,0.2523047303394297,8.848948223810954,0.5000269771634499,230,0.5714783668518066,7.471718736890343,1.2853717044856054,12.683354320566224,Adaptive,Adaptive,Adaptive strongest
1,7,tt_bekasi.csv,0.7280439853668212,0.09603856830354746,1.0757818197917586,0.0829750768809742,230,1.355279302597046,0.2827292831518952,1.6396643848795733,0.3044322743694813,230,-0.6272353172302247,-86.15349207427288,-0.5638825650878148,-52.41607124360651,Fixed,Fixed,Fixed strongest
1,26,tt_cibitung.csv,0.8944789409637451,0.06564030187044798,1.3310700234459039,0.009994308874338357,230,1.2117859363555907,0.15031232690688864,1.5625220228589767,0.10200337300578442,230,-0.3173069953918456,-35.473948112178824,-0.23145199941307282,-17.38841648720213,Fixed,Fixed,Fixed strongest
1,46,tt_manggadua.csv,2.578376293182373,0.04656548981052763,3.906676902141696,0.06463437167226035,230,2.8443936824798586,0.10938490105026409,3.938994212198101,0.11150545611025926,230,-0.26601738929748553,-10.317244616345441,-0.032317310056404924,-0.8272327317032057,Fixed,Fixed,Fixed strongest
1,15,tt_kalimalang.csv,0.7790370941162109,0.03137283565496277,1.5462906884930492,0.02781633375864699,230,1.0062289834022522,0.07346490984474377,1.6229486493234,0.05597243261055382,230,-0.22719188928604128,-29.163167068929134,-0.07665796083035081,-4.957538799192957,Fixed,Fixed,Fixed strongest
1,49,tt_merak_toll_e.csv,1.5446125745773316,0.15071029530544305,2.294190834398889,0.026890775456523883,230,1.7481572389602662,0.04897952081494923,2.5034722883310456,0.0636075730564063,230,-0.20354466438293461,-13.177716388760635,-0.20928145393215658,-9.122233895899567,Fixed,Fixed,Fixed strongest
