horizon,num_corridors,adaptive_wins_mae,fixed_wins_mae,ties_mae,mean_mae_improvement,median_mae_improvement,mean_mae_improvement_pct,mean_rmse_improvement,mean_rmse_improvement_pct
1,64,52,12,0,0.24709242749959232,0.23853650093078604,5.752454843583541,0.377899647868144,7.910520969171623
3,64,56,8,0,0.5926337076351047,0.4978970646858214,12.752336426817818,0.7354912549438306,13.3148048379038
6,64,51,13,0,0.6949413238093257,0.5543969988822937,14.123782805061555,0.7042807957568488,12.765461111996657
