file,unique_ts,start,end
tt_cawang.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_gatsu.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_grogol.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kelapagading.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kuningan.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_sudirman.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_thamrin.csv,639,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_bekasi.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_bogor.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_bsd.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_depok.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kebonjeruk.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_tangerang.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_tbsimatupang.csv,638,2026-07-27 02:00:00+00:00,2026-09-11 12:00:00+00:00
tt_daanmogot.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kalimalang.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_lingkardalam.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_majapahit.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_merdekabar.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_mtharyono.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_rayabogor.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_sparman.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_sudirman_s.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_sultanagung.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cakungcilincing.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cibinong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cibitung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cijantung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cilodong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cimanggis.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cipondoh.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_fatmawati.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_gadingserpong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_gajahmada.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_gunungsahari.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_hayamwuruk.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_jatinegara.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_jorr_west.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kapukmuara.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_karawaci.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kedoya.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kemang.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_kramatraya.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_lebakbulus.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_lentengagung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_mampang.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_manggadua.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_martadinata.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_matraman.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_merak_toll_e.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_otista.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_pemuda.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_perintis.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_pluit.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_pondokindah.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_pospengumben.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_pramuka.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_purikembangan.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_ragunan.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_rayabekasi_cakung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_salemba.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_supomo.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_tambun.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_tendean.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_aksesui.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_antasari_toll.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_becakayu_toll.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_bintaro.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_ciawi.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cibitung_cilincing.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
tt_cijago_toll.csv,302,2026-08-18 04:00:00+00:00,2026-09-11 12:00:00+00:00
