file,rows,start,end,speed_null,speed_min,speed_max,speed_mean,speed_std,speed_unique,speed_zero,speed_negative,ff_null,ff_min,ff_max,ff_mean,ff_negative,speed_above_ff,speed_above_ff_pct,congestion_null,congestion_min,congestion_max,congestion_mean,congestion_negative,congestion_above_1,confidence_null,confidence_min,confidence_max,confidence_mean,confidence_below_0,confidence_above_1,road_closure_count,flag_near_constant_speed,flag_extreme_speed,flag_confidence,flag_congestion,num_flags
tt_kalimalang.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,23.0,31.0,30.502551020408163,1.6939771819721878,6,0,0,0,30.0,31.0,30.9515306122449,0,0,0.0,0,0.0,0.2333333333333332,0.01474654377880184,0,0,0,0.904327,1.0,0.9989149744897958,0,0,0,False,False,False,False,0
tt_lingkardalam.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,7.0,24.0,19.831632653061224,4.750255816264432,15,0,0,0,21.0,25.0,23.239795918367346,0,0,0.0,0,0.0,0.6666666666666667,0.1491638770132559,0,0,0,0.73,1.0,0.9962369285714285,0,0,0,False,False,False,False,0
tt_majapahit.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,22.0,40.0,35.630102040816325,5.052503063021066,18,0,0,0,39.0,41.0,39.94642857142857,0,0,0.0,0,0.0,0.4634146341463414,0.10813622353256498,0,0,0,0.907297,1.0,0.9994687168367348,0,0,0,False,False,False,False,0
tt_merdekabar.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,11.0,27.0,24.497448979591837,4.191697264410867,13,0,0,0,25.0,28.0,26.869897959183675,0,0,0.0,0,0.0,0.5925925925925926,0.08925490892327625,0,0,0,0.6,1.0,0.9877564336734694,0,0,0,False,False,False,False,0
tt_mtharyono.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,10.0,47.0,46.375,3.628487386792537,9,0,0,0,46.0,48.0,46.994897959183675,0,0,0.0,0,0.0,0.7872340425531915,0.013200134355314743,0,0,0,1.0,1.0,1.0,0,0,0,False,False,False,False,0
tt_rayabogor.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,15.0,23.0,21.09438775510204,2.666217400217117,8,0,0,0,21.0,23.0,22.696428571428573,0,0,0.0,0,0.0,0.3478260869565217,0.0721778406450101,0,0,0,0.79568,1.0,0.9849709413265306,0,0,0,False,False,False,False,0
tt_sparman.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,13.0,24.0,23.785714285714285,1.209510479914506,8,0,0,0,23.0,24.0,23.982142857142858,0,0,0.0,0,0.0,0.4347826086956522,0.00837400177462289,0,0,0,0.795556,1.0,0.9960585739795919,0,0,0,False,False,False,False,0
tt_sudirman_s.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,11.0,21.0,19.466836734693878,2.4335511176735065,11,0,0,0,20.0,22.0,21.010204081632654,0,0,0.0,0,0.0,0.4761904761904761,0.07345779220779221,0,0,0,0.979452,1.0,0.9991268596938776,0,0,0,False,False,False,False,0
tt_sultanagung.csv,392,2026-08-12 01:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,25.0,24.068877551020407,2.3335320068324825,8,0,0,0,24.0,25.0,24.933673469387756,0,0,0.0,0,0.0,0.4399999999999999,0.03527636054421768,0,0,0,0.5879,1.0,0.9815426428571428,0,0,0,False,False,False,False,0
tt_cakungcilincing.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,15.0,29.0,23.638461538461538,4.68603544782914,12,0,0,0,27.0,29.0,28.574358974358976,0,0,0.0,0,0.0,0.4827586206896551,0.17430950275777862,0,0,0,0.865188,1.0,0.978589558974359,0,0,0,False,False,False,False,0
tt_cibinong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,27.0,44.0,39.98461538461538,4.531497222259008,13,0,0,0,43.0,45.0,44.05641025641026,0,0,0.0,0,0.0,0.3863636363636363,0.09228453286592818,0,0,0,0.997971,1.0,0.9999750615384615,0,0,0,False,False,False,False,0
tt_cibitung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,16.0,23.0,22.26923076923077,1.6135120081961698,8,0,0,0,22.0,23.0,22.97179487179487,0,0,0.0,0,0.0,0.3043478260869565,0.030693219823654597,0,0,0,0.761762,1.0,0.9817004820512821,0,0,0,False,False,False,False,0
tt_cijantung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,21.0,20.164102564102564,1.9330021377426956,5,0,0,0,20.0,21.0,20.935897435897434,0,0,0.0,0,0.0,0.3333333333333333,0.037466422466422455,0,0,0,0.6,1.0,0.9980623897435897,0,0,0,True,False,False,False,1
tt_cilodong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,18.0,30.0,26.97948717948718,3.0739957071870423,9,0,0,0,29.0,30.0,29.358974358974358,0,0,0.0,0,0.0,0.3793103448275862,0.08005305039787797,0,0,0,0.907378,1.0,0.9882093282051283,0,0,0,False,False,False,False,0
tt_cimanggis.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,18.0,25.0,24.194871794871794,1.9943298438166253,6,0,0,0,24.0,25.0,24.933333333333334,0,0,0.0,0,0.0,0.28,0.030051282051282043,0,0,0,0.923453,1.0,0.9972777923076923,0,0,0,False,False,False,False,0
tt_cipondoh.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,19.0,34.0,29.17948717948718,4.840233029252845,12,0,0,0,33.0,34.0,33.9025641025641,0,0,0.0,0,0.0,0.4242424242424242,0.13960418666301017,0,0,0,0.99,1.0,0.999514176923077,0,0,0,False,False,False,False,0
tt_fatmawati.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,11.0,35.0,30.338461538461537,6.357661021805325,18,0,0,0,33.0,36.0,34.85128205128205,0,0,0.0,0,0.0,0.6666666666666667,0.13042747013335249,0,0,0,0.98,1.0,0.999948717948718,0,0,0,False,False,False,False,0
