source_index,target_index,source,target,distance_km
19,50,tt_mtharyono.csv,tt_otista.csv,2.6739628717561468
19,61,tt_mtharyono.csv,tt_supomo.csv,3.7581978283639845
20,27,tt_rayabogor.csv,tt_cijantung.csv,2.2915281468767974
20,29,tt_rayabogor.csv,tt_cimanggis.csv,5.236042225139154
20,44,tt_rayabogor.csv,tt_lentengagung.csv,3.546802907217767
23,26,tt_sultanagung.csv,tt_cibitung.csv,10.01002716945993
23,62,tt_sultanagung.csv,tt_tambun.csv,5.179723748074868
24,47,tt_cakungcilincing.csv,tt_martadinata.csv,7.095179361350988
24,51,tt_cakungcilincing.csv,tt_pemuda.csv,6.573855232136359
24,52,tt_cakungcilincing.csv,tt_perintis.csv,5.142440059385548
24,59,tt_cakungcilincing.csv,tt_rayabekasi_cakung.csv,3.1419433680731723
25,28,tt_cibinong.csv,tt_cilodong.csv,5.66848057355391
25,29,tt_cibinong.csv,tt_cimanggis.csv,12.828298366047802
26,62,tt_cibitung.csv,tt_tambun.csv,5.592957711871951
27,29,tt_cijantung.csv,tt_cimanggis.csv,7.450091093494256
27,44,tt_cijantung.csv,tt_lentengagung.csv,2.2104287372950773
27,58,tt_cijantung.csv,tt_ragunan.csv,4.725095127015184
28,29,tt_cilodong.csv,tt_cimanggis.csv,8.32095790125225
30,37,tt_cipondoh.csv,tt_jorr_west.csv,4.746822717262692
30,39,tt_cipondoh.csv,tt_karawaci.csv,8.22220453473859
30,55,tt_cipondoh.csv,tt_pospengumben.csv,6.455778479287846
30,57,tt_cipondoh.csv,tt_purikembangan.csv,5.637974736597721
31,43,tt_fatmawati.csv,tt_lebakbulus.csv,1.9617876350190928
31,54,tt_fatmawati.csv,tt_pondokindah.csv,2.30454414925073
31,58,tt_fatmawati.csv,tt_ragunan.csv,2.0172225850938115
32,37,tt_gadingserpong.csv,tt_jorr_west.csv,6.180348079848077
32,39,tt_gadingserpong.csv,tt_karawaci.csv,4.327178518114632
32,49,tt_gadingserpong.csv,tt_merak_toll_e.csv,5.554682084674348
33,34,tt_gajahmada.csv,tt_gunungsahari.csv,2.255394552431625
33,35,tt_gajahmada.csv,tt_hayamwuruk.csv,0.9546808953070183
33,38,tt_gajahmada.csv,tt_kapukmuara.csv,8.28068760228026
33,46,tt_gajahmada.csv,tt_manggadua.csv,1.731035949139835
33,53,tt_gajahmada.csv,tt_pluit.csv,4.862540330167803
34,35,tt_gunungsahari.csv,tt_hayamwuruk.csv,1.691556612544876
34,46,tt_gunungsahari.csv,tt_manggadua.csv,1.1078660408537917
34,47,tt_gunungsahari.csv,tt_martadinata.csv,7.095179361349892
35,46,tt_hayamwuruk.csv,tt_manggadua.csv,0.8427296075021653
35,53,tt_hayamwuruk.csv,tt_pluit.csv,4.824343780537046
