model,horizon,mae,rmse,observed_points
Naive Persistence,1,2.7605299949645996,5.445349803999284,2944
Naive Persistence,3,3.7815897464752197,6.965145256461168,2944
Naive Persistence,6,4.621675491333008,7.779584959281046,3008
Historical Average,1,3.8746562217888623,5.414478926250666,2944
Historical Average,3,3.913675991089448,5.502208151175187,2944
Historical Average,6,4.000689658712833,5.642519822306964,3008
