model,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std,num_seeds,evaluated_points
Fixed ST-GNN,1,3.0213659763336183,0.03666703546159996,4.8225975814387585,0.014232406596325145,5,2944
Fixed ST-GNN,3,3.654183530807495,0.027329377809656476,5.550099938503363,0.04132308887030326,5,2944
Fixed ST-GNN,6,3.854721689224243,0.02581014788322259,5.571297792471961,0.0427350748844591,5,3008
