obs_time_utc,station_id,name,city,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-09-13 08:00:00+00:00,tt_mtharyono,Jl. MT Haryono (Cawang),Jabodetabek,-6.245,106.882,47,47,37,37,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_otista,Jl. Otista Raya,Jabodetabek,-6.235,106.86,19,24,568,449,0.20833333333333337,False,0.977769
2026-09-13 08:00:00+00:00,tt_pemuda,Jl. Pemuda,Jabodetabek,-6.18,106.88,39,39,118,118,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_perintis,Jl. Perintis Kemerdekaan,Jabodetabek,-6.187,106.905,20,26,298,229,0.23076923076923073,False,0.919873
2026-09-13 08:00:00+00:00,tt_pluit,Jl. Pluit Raya,Jabodetabek,-6.122,106.778,51,51,90,90,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_pondokindah,Jl. Pondok Indah,Jabodetabek,-6.28,106.78,18,22,122,99,0.18181818181818177,False,0.991369
2026-09-13 08:00:00+00:00,tt_pospengumben,Jl. Raya Pos Pengumben,Jabodetabek,-6.225,106.73,25,28,1055,941,0.1071428571428571,False,0.990998
2026-09-13 08:00:00+00:00,tt_pramuka,Jl. Pramuka,Jabodetabek,-6.19,106.865,34,43,467,369,0.2093023255813954,False,1.0
2026-09-13 08:00:00+00:00,tt_purikembangan,Jl. Puri Kembangan,Jabodetabek,-6.205,106.73,77,77,307,307,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_ragunan,Jl. Ragunan (TMII),Jabodetabek,-6.295,106.815,22,27,1076,876,0.18518518518518523,False,1.0
2026-09-13 08:00:00+00:00,tt_rayabekasi_cakung,Jl. Raya Bekasi (Cakung),Jabodetabek,-6.172,106.945,36,36,388,388,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_rayabogor,Jl. Raya Bogor (Pasar Rebo),Jabodetabek,-6.33,106.86,23,23,604,604,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_salemba,Jl. Salemba Raya,Jabodetabek,-6.185,106.85,35,35,972,972,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_sparman,Jl. Letjen S. Parman (Slipi),Jabodetabek,-6.185,106.795,24,24,156,156,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_sudirman,Jl. Sudirman (HI),Jabodetabek,-6.2088,106.8228,32,38,448,377,0.1578947368421053,False,1.0
2026-09-13 08:00:00+00:00,tt_sudirman_s,Jl. Sudirman Selatan (Senayan),Jabodetabek,-6.229,106.802,21,21,351,351,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_sultanagung,Jl. Sultan Agung (Bekasi),Jabodetabek,-6.255,107.005,25,25,183,183,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_supomo,Jl. Prof. Supomo (Sahardjo),Jabodetabek,-6.245,106.848,48,48,21,21,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_tambun,Jl. Raya Tambun (Bekasi),Jabodetabek,-6.268,107.05,37,37,916,916,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_tangerang,Tol Jakarta-Merak,Jabodetabek,-6.2,106.63,48,48,193,193,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_tbsimatupang,TB Simatupang,Jabodetabek,-6.293,106.82,72,72,343,343,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_tendean,Jl. Kapt. Tendean,Jabodetabek,-6.242,106.832,39,39,81,81,0.0,False,1.0
2026-09-13 08:00:00+00:00,tt_thamrin,Jl. MH Thamrin,Jabodetabek,-6.188,106.823,17,23,338,249,0.26086956521739135,False,1.0
